"Dizi Adi","Baslangic Yili","Ortalama Suresi","Yayinci Kuruluslar","Yapim sirketi","Yapimci","Senarist","Yonetmen","Oyuncu1puan","Oyuncu2puan","Oyuncu3puan","Turler","Bitis Yili","Sezon Sayisi","Yayinlanan bolum sayisi","ihrac durumu","Basari"
"Bir Litre Gozyasi","2018","120","Kanal D","Med Yapim","Fatih Aksoy","Sertac Ergin","Serhan Sahin","65","60","70","Dram","","","","",""
"Bir Zamanlar Cukurova","2018","150","ATV","Tims Productions","Timur Savci","Yildiz Tunc","Faruk Teber","60","75","70","Dram","","","","",""
"Carpisma","2018","120","Show Tv","Ay Yapim","Kerem Catay","Ali Aydin","Uluc Bayraktar","90","65","65","Dram","","","","",""
"Ikizler Memo - Can","2018","120","Kanal D","Erler Film","Turker Inanoglu","Ozlem Atasoy","Erol Ozlevi","75","55","70","Komedi","","","","",""
"Yasak Elma","2018","90","Fox Tv","Med Yapim","Fatih Aksoy","Melis Civelek","Neslihan Yesilyurt","60","65","70","Dram","","","","",""
"Erkenci Kus","2018","120","Star Tv","Gold Film","Faruk Turgut","Ayse Kutlu","Cagri Bayrak","50","55","65","Romantik","","","","",""
"Muhtesem Ikili","2018","120","Kanal D","TMC","Erol Avci","Basar Basaran","Cagatay Tosun","55","65","70","Aksiyon","","","","",""
"Gulperi","2018","120","Show Tv","Tims Productions","Timur Savci","Sema Ergenekon","Metin Balekoglu","85","85","75","Dram","","","","",""
"Aglama Anne","2018","120","ATV","Surec Film","Ali Gundogdu","Berfu Ergenekon","Feride Kaytan","80","65","85","Dram","","","","",""
"Kizim","2018","90","TV 8","Med Yapim","Fatih Aksoy","Irmak Bahceci","Gokcen Usta","65","60","60","Dram","","","","",""
